genero,rangoedad,estado,Actividad,condicion,grupoetnico,tipoevento,Ubicación,municipio,departamento,sitio,latitudcabecera,longitudcabecera,tipoarea,ano,mes,codigodanemunicipio,codigodanedepartamento
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.522444, -75.313361)",ALGECIRAS,HUILA,Sin informacion,2.522444,-75.313361,Rural,1992,2,41020,41
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.522444, -75.313361)",ALGECIRAS,HUILA,Sin informacion,2.522444,-75.313361,Rural,1992,2,41020,41
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(6.191944, -75.132)",GRANADA,ANTIOQUIA,Sin informacion,6.191944,-75.132,Rural,2001,8,5313,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(6.191944, -75.132)",GRANADA,ANTIOQUIA,Sin informacion,6.191944,-75.132,Rural,2001,8,5313,5
Hombre,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(5.709167, -75.310278)",SONSON,ANTIOQUIA,Rio Verde De Los Henaos,5.709167,-75.310278,Rural,2004,2,5756,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(1.909652, -75.159112)",PUERTO RICO,CAQUETA,Vereda Monterrey,1.909652,-75.159112,Rural,2007,2,18592,18
Mujer,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(7.437292, -77.111288)",RIOSUCIO,CHOCO,Sin informacion,7.437292,-77.111288,Rural,2002,9,27615,27
Hombre,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(8.081507, -73.221319)",ABREGO,NORTE DE SANTANDER,Vereda Alto El Pozo,8.081507,-73.221319,Rural,2001,10,54003,54
Hombre,Menor de 18 anos,Herido,Otra,Civil,no,Sin informacion,"(5.965414, -75.10198)",SAN FRANCISCO,ANTIOQUIA,Vereda Canada-Honda,5.965414,-75.10198,Rural,2001,8,5652,5
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(5.411801, -74.989572)",SAMANA,CALDAS,Vereda San Lucas,5.411801,-74.989572,Rural,2006,3,17662,17
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(5.411801, -74.989572)",SAMANA,CALDAS,Vereda San Lucas,5.411801,-74.989572,Rural,2006,3,17662,17
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(3.380464, -73.878772)",SAN JUAN DE ARAMA,META,Vereda La Hermita,3.380464,-73.878772,Rural,2004,12,50683,50
Hombre,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(7.061193, -73.855997)",BARRANCABERMEJA,SANTANDER,Barrios De Barrancabermeja,7.061193,-73.855997,Urbana,1993,12,68081,68
Hombre,Mayor de 18 anos,Muerto,Fuerza publica,Fuerza publica,no,Sin informacion,"(7.061193, -73.855997)",BARRANCABERMEJA,SANTANDER,Barrios De Barrancabermeja,7.061193,-73.855997,Urbana,1993,12,68081,68
Hombre,Mayor de 18 anos,Herido,Sin Informacion,Civil,no,Sin informacion,"(7.965, -74.055)",SANTA ROSA DEL SUR,BOLIVAR,Sin informacion,7.965,-74.055,Rural,2004,5,13688,13
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.695833, -74.8825)",SAN VICENTE DEL CAGUAN,CAQUETA,Caserio Guayabal,2.695833,-74.8825,Rural,2007,4,18753,18
Hombre,Mayor de 18 anos,Herido,Fuerza publica,Fuerza publica,no,Sin informacion,"(2.695833, -74.8825)",SAN VICENTE DEL CAGUAN,CAQUETA,Caserio Guayabal,2.695833,-74.8825,Rural,2007,4,18753,18
